"iyear","nkill","nwound","costes","nattack"
"1970","0","0","≥ $1 billion","0"
"1970","48","7","≥ $1 million but < $1 billion","9"
"1970","37","174","< $1 million","353"
"1970","10","22","Unknown","45"
"1971","0","0","≥ $1 billion","0"
"1971","25","3","≥ $1 million but < $1 billion","2"
"1971","27","59","< $1 million","164"
"1971","62","101","Unknown","75"
"1972","0","0","≥ $1 billion","0"
"1972","81","0","≥ $1 million but < $1 billion","2"
"1972","84","250","< $1 million","65"
"1972","49","76","Unknown","42"
"1973","0","0","≥ $1 billion","0"
"1973","30","50","≥ $1 million but < $1 billion","2"
"1973","45","144","< $1 million","67"
"1973","25","45","Unknown","32"
"1974","0","0","≥ $1 billion","0"
"1974","90","3","≥ $1 million but < $1 billion","4"
"1974","178","637","< $1 million","129"
"1974","10","18","Unknown","38"
"1975","0","0","≥ $1 billion","0"
"1975","0","0","≥ $1 million but < $1 billion","1"
"1975","298","477","< $1 million","170"
"1975","112","317","Unknown","141"
"1976","0","0","≥ $1 billion","0"
"1976","73","41","≥ $1 million but < $1 billion","5"
"1976","153","546","< $1 million","249"
"1976","84","187","Unknown","143"
"1977","0","0","≥ $1 billion","0"
"1977","2","19","≥ $1 million but < $1 billion","20"
"1977","157","359","< $1 million","526"
"1977","68","185","Unknown","173"
"1978","0","0","≥ $1 billion","0"
"1978","12","26","≥ $1 million but < $1 billion","13"
"1978","919","1100","< $1 million","660"
"1978","176","207","Unknown","137"
"1979","0","0","≥ $1 billion","0"
"1979","29","19","≥ $1 million but < $1 billion","20"
"1979","485","736","< $1 million","439"
"1979","930","1374","Unknown","733"
"1980","0","0","≥ $1 billion","0"
"1980","27","83","≥ $1 million but < $1 billion","15"
"1980","573","389","< $1 million","276"
"1980","1402","1764","Unknown","565"
"1981","0","0","≥ $1 billion","0"
"1981","8","18","≥ $1 million but < $1 billion","11"
"1981","578","682","< $1 million","344"
"1981","3274","2105","Unknown","828"
"1982","0","0","≥ $1 billion","0"
"1982","40","28","≥ $1 million but < $1 billion","14"
"1982","902","1028","< $1 million","560"
"1982","3176","1562","Unknown","744"
"1983","0","0","≥ $1 billion","0"
"1983","94","62","≥ $1 million but < $1 billion","10"
"1983","994","930","< $1 million","439"
"1983","4633","2352","Unknown","823"
"1984","0","0","≥ $1 billion","0"
"1984","33","8","≥ $1 million but < $1 billion","13"
"1984","1238","716","< $1 million","512"
"1984","3790","1783","Unknown","619"
"1985","0","0","≥ $1 billion","0"
"1985","132","12","≥ $1 million but < $1 billion","12"
"1985","595","658","< $1 million","526"
"1985","2068","892","Unknown","521"
"1986","0","0","≥ $1 billion","0"
