"iyear","nkill","nwound","attacktype1","nattack"
"1970","16","24","Assassination","20"
"1970","52","71","Armed Assault","59"
"1970","94","180","Bombing/Explosion","328"
"1970","1","1","Hijacking","11"
"1970","0","0","Hostage taking (barricade incident)","3"
"1970","18","12","Hostage taking (kidnapping)","30"
"1970","23","57","Facility/Infraestructure attack","170"
"1970","0","5","Unarmed assault","3"
"1970","3","2","Unknown","5"
"1971","71","174","Assassination","68"
"1971","26","35","Armed Assault","42"
"1971","151","201","Bombing/Explosion","230"
"1971","2","3","Hijacking","6"
"1971","0","0","Hostage taking (barricade incident)","1"
"1971","13","19","Hostage taking (kidnapping)","17"
"1971","19","57","Facility/Infraestructure attack","88"
"1971","0","0","Unarmed assault","0"
"1971","3","3","Unknown","2"
"1972","212","531","Assassination","252"
"1972","78","169","Armed Assault","63"
"1972","311","634","Bombing/Explosion","180"
"1972","5","10","Hijacking","12"
"1972","0","1","Hostage taking (barricade incident)","4"
"1972","14","24","Hostage taking (kidnapping)","15"
"1972","5","17","Facility/Infraestructure attack","18"
"1972","0","0","Unarmed assault","0"
"1972","1","0","Unknown","1"
"1973","171","380","Assassination","162"
"1973","63","82","Armed Assault","61"
"1973","103","569","Bombing/Explosion","142"
"1973","34","10","Hijacking","8"
"1973","38","55","Hostage taking (barricade incident)","7"
"1973","25","36","Hostage taking (kidnapping)","37"
"1973","16","25","Facility/Infraestructure attack","35"
"1973","2","3","Unarmed assault","3"
"1973","0","1","Unknown","1"
"1974","161","367","Assassination","158"
"1974","47","71","Armed Assault","44"
"1974","350","1025","Bombing/Explosion","278"
"1974","1","2","Hijacking","3"
"1974","37","7","Hostage taking (barricade incident)","5"
"1974","27","27","Hostage taking (kidnapping)","34"
"1974","16","32","Facility/Infraestructure attack","42"
"1974","1","4","Unarmed assault","4"
"1974","7","5","Unknown","1"
"1975","209","359","Assassination","177"
"1975","262","170","Armed Assault","72"
"1975","283","802","Bombing/Explosion","350"
"1975","0","1","Hijacking","1"
"1975","39","61","Hostage taking (barricade incident)","12"
"1975","12","21","Hostage taking (kidnapping)","22"
"1975","66","101","Facility/Infraestructure attack","54"
"1975","0","0","Unarmed assault","0"
"1975","2","6","Unknown","3"
"1976","233","401","Assassination","201"
"1976","157","96","Armed Assault","118"
"1976","341","873","Bombing/Explosion","405"
"1976","27","31","Hijacking","4"
"1976","16","42","Hostage taking (barricade incident)","6"
"1976","27","34","Hostage taking (kidnapping)","33"
"1976","34","75","Facility/Infraestructure attack","107"
"1976","0","3","Unarmed assault","2"
"1976","2","3","Unknown","3"
